canonical name,other-names,place-type
Coimbatore,"kovai,Kongunadu,Koyampuththoor,coimbatore",district
Thrissur,"thrissivaperur, thrissur",district
Kochi,"cochin, kochi",city
India,"bharat, india, hindustan",country
Kerala,"keralam, kerala",state
America,"america, USA, ",country
Bangalore,"bengaluru, Bangalore",district
Kolkata,"Kolkata, Calcutta",district
Trivandrum,"Trivandrum, Thiruvananthapuram, ",district
Mumbai,"Mumbai, Bombay",district
Chennai,"Chennai, Madras",district
Palakkad,"Palakkad, palghat",district
Maharashtra,"Maharashtra",state
Ahmedabad,"Ahmedabad,Karnavati,Amdavad",city
newzealand,"newzealand",country
South Africa,"South Africa",country
Nagarcoil,"Nagarcoil,nagarkoil",city
Tamil Nadu,"TamilNadu,Tamil Nadu",State
North Korea,"North Korea",country
Jordan,"Jordan",country
Rajasthan,"Rajasthan",state
Uttar Pradesh,"Uttar Pradesh, UP",state
Madhya Pradesh,"Madhya Pradesh, MP",state
Goa,"Goa",state
Punjab,"Punjab",state
Haryana,"Haryana",state
Gujarat,"Gujarat",state
West Bengal,"West Bengal, WB",state
Sikkim,"Sikkim",state
Himachal Pradesh,"Himachal Pradesh, HP",state
Andhra Pradesh,"Andhra Pradesh, AP",state
Arunachal Pradesh,"Arunachal Pradesh, Arunachal",state
Bihar,"Bihar",state
Chhattisgarh,"Chhattisgarh",state
Jharkhand,"Jharkhand",state
Odisha,"Odisha, Orissa",state
Manipur,"Manipur",state
Meghalaya,"Meghalaya",state
Mizoram,"Mizoram",state
Nagaland,"Nagaland",state
Canada,"Canada",country
Mexico,"Mexico",country
Brazil,"Brazil",country
Argentina,"Argentina",country
Chile,"Chile",country
Peru,"Peru",country
Colombia,"Colombia",country
Venezuela,"Venezuela",country
United Kingdom,"United Kingdom, UK, Britain",country
France,"France",country
Germany,"Germany",country
Italy,"Italy",country
Spain,"Spain",country
Portugal,"Portugal",country
Russia,"Russia",country
China,"China",country
Japan,"Japan",country
South Korea,"South Korea",country
Australia,"Australia",country
New Zealand,"New Zealand",country
Singapore,"Singapore",country
United Arab Emirates,"United Arab Emirates, UAE",country
Pondicherry,"Pondicherry, Puducherry",district
